lat,lon,pop
35.6839,139.7744,39105000
-6.2146,106.8451,35362000
28.6667,77.2167,31870000
14.6,120.9833,23971000
-23.5504,-46.6339,22495000
37.56,126.99,22394000
19.0758,72.8775,22186000
31.1667,121.4667,22118000
19.4333,-99.1333,21505000
23.1288,113.259,21489000
30.0444,31.2358,19787000
39.904,116.4075,19437000
40.6943,-73.9249,18713220
22.5727,88.3639,18698000
55.7558,37.6178,17693000
13.75,100.5167,17573000
23.7289,90.3944,16839000
-34.5997,-58.3819,16216000
34.752,135.4582,15490000
6.45,3.4,15487000
41.01,28.9603,15311000
24.86,67.01,15292000
-4.3317,15.3139,15056000
22.535,114.054,14678000
12.9791,77.5913,13999000
10.8167,106.6333,13954000
35.7,51.4167,13819000
34.1139,-118.4068,12750807
-22.9083,-43.1964,12486000
30.66,104.0633,11920000
38.8671,115.4845,11860000
13.0825,80.275,11564000
31.5497,74.3436,11148000
51.5072,-0.1275,11120000
48.8566,2.3522,11027000
39.1467,117.2056,10932000
35.0606,118.3425,10820000
38.0422,114.5086,10784600
34.7492,113.6605,10136000
32.9987,112.5292,10013600
17.3617,78.4747,9840000
30.5872,114.2881,9729000
36.6116,114.4894,9549700
35.1167,136.9333,9522000
36.7167,119.1,9373000
-12.06,-77.0375,8992000
33.625,114.6418,8953172
-8.8383,13.2344,8883000
25.8292,114.9336,8677600
34.261,117.1859,8669000
3.1478,101.6953,8639000
41.8373,-87.6862,8604203
35.2333,115.4333,8287693
29.55,106.5069,8261000
21.0245,105.8412,8246600
32.8986,115.8045,8200264
28.1987,112.9709,8154700
23.0475,113.7493,8142000
35.4,116.5667,8081905
36.6667,116.9833,7967400
18.5196,73.8553,7948000
23.0292,113.1056,7905700
4.6126,-74.0705,7743955
23.03,72.58,7729000
32.05,118.7667,7717000
43.9,125.2,7674439
39.6292,118.1742,7577289
38.3037,116.8452,7544300
-6.8,39.2833,7461000
31.8639,117.2808,7457027
22.3069,114.1831,7398000
27.2418,111.4725,7370500
21.1967,110.4031,7332000
34.4259,115.6467,7325300
31.9829,120.8873,7283622
33.3936,120.1339,7260240
22.8192,108.315,7254100
26.8968,112.5857,7243400
32.9773,114.0253,7231234
41.8039,123.4258,7208000
37.0659,114.4753,7104103
34.2667,108.9,7090000
-33.45,-70.6667,7026000
37.3997,121.2664,6968202
24.65,46.71,6889000
34.6587,112.4245,6888500
25.0433,102.7061,6850000
28.4419,117.9633,6810700
30.25,120.1675,6713000
27.3019,105.2863,6686100
24.9139,118.5858,6480000
25.7839,-80.2102,6445545
31.5667,120.2833,6372624
30.45,114.875,6333000
21.6618,110.9178,6313200
30.7991,106.0784,6278614
27.705,106.9336,6270700
25.5102,103.8029,6155400
33.35,44.4167,6109106
32.1264,114.0672,6107000
23.5533,116.3649,6089400
15.6031,32.5265,6017000
40.4167,-3.7167,6006000
25.45,81.85,5954391
22.6293,110.1507,5849700
29.0397,111.6839,5827200
36.45,115.9833,5789863
36.1167,120.4,5775000
32.7936,-96.7662,5743938
35.2992,113.8851,5708191
32.0654,112.1531,5680000
40.0077,-75.1339,5649300
29.987,31.2118,5611701
31.7542,116.5078,5598402
27.3328,103.7144,5591000
27.8041,114.383,5573200
37.4513,116.3105,5568235
-1.2864,36.8172,5545500
28.6842,115.8872,5545000
36.2001,117.0809,5494207
31.2152,107.4947,5468097
29.7863,-95.3889,5464251
20.6767,-103.3475,5452100
26.4515,111.5953,5449398
33.7627,-84.4224,5437000
16.795,96.16,5430000
43.7417,-79.3733,5429524
46.6384,126.9808,5418153
59.95,30.3167,5384342
38.9047,-77.0163,5379184
47.3398,123.9512,5367003
33.6333,116.9683,5352924
23.3735,116.6941,5319028
34.4996,109.4684,5286077
31.8122,119.9692,5278121
1.3,103.8,5271000
26.0769,119.2917,5245000
31.2231,121.5397,5187200
-19.9281,-43.9419,5159000
24.5093,117.6612,5140000
35.0304,110.998,5134779
31.304,120.6164,5103000
34.35,108.7167,5096001
25.2667,110.2833,5085500
32.4831,119.9,5031000
5.3364,-4.0267,4980000
27.5494,109.9592,4979600
27.1172,114.9793,4956600
30.9273,113.911,4921000
33.735,113.2999,4904701
29.7048,116.0021,4896800
21.17,72.83,4881900
26.5794,106.7078,4875000
31.2,29.9167,4870000
33.8626,115.7742,4850657
-33.865,151.2094,4840600
23.1115,114.4152,4830000
33.5,119.1331,4799889
25.7989,113.0267,4744500
41.3825,2.1769,4735000
30.5,117.0333,4723000
33.9331,118.2831,4719178
42.3188,-71.0846,4688346
22.5833,113.0833,4630300
31.4669,104.7385,4613862
45.75,126.6333,4583000
34.7936,114.3403,4564900
-37.8136,144.9631,4530597
36.7831,118.0497,4529500
38.9,121.6,4480000
37.7348,115.686,4472000
28.7596,104.64,4471896
32.3912,119.4363,4459760
2.3528,-76.6819,4444444
-26.2044,28.0416,4434827
28.5833,112.3333,4413800
23.0961,109.6092,4409200
34.5906,119.1801,4393482
24.2998,116.1191,4378800
33.5992,-7.62,4370000
39.5196,116.7006,4358839
40.8108,114.8811,4345485
42.2663,118.9223,4341245
36.0812,111.5087,4316610
34.0244,113.8201,4307488
34.5328,69.1658,4273156
33.5722,-112.0891,4219697
28.8918,105.4409,4218427
37.8733,112.5425,4201592
23.05,112.4667,4151700
30.7083,111.2803,4137900
24.4797,118.0819,4110000
27.9814,116.3577,4047200
24.3264,109.4281,4041700
27.8407,113.1469,4020800
31.95,35.9333,4007526
21.5428,39.1728,3976000
32.3062,118.3115,3937868
27.7378,111.9974,3931800
31.1289,104.395,3877000
23.6842,113.0507,3874000
12.0,8.5167,3848885
31.334,118.3622,3842100
47.6211,-122.3244,3789215
35.4333,139.6333,3757630
37.3806,118.0125,3748474
34.3609,107.1751,3738700
34.8667,117.55,3729140
29.5872,105.0635,3702847
23.901,106.6194,3669400
52.5167,13.3833,3664088
41.1066,122.9895,3645884
36.0617,103.8318,3616163
35.7639,115.03,3598740
37.7562,-122.443,3592294
35.229,113.2304,3590700
24.6928,108.085,3545700
45.5089,-73.5617,3519595
42.3834,-83.1024,3506126
40.9739,117.9322,3473201
35.1,129.0403,3453198
36.7764,3.0586,3416196
33.0794,107.026,3415811
32.6351,110.7755,3398000
26.847,80.947,3385156
43.1715,124.3644,3382000
38.2655,109.7388,3351436
36.1953,113.097,3334565
21.95,108.6167,3304400
31.8576,106.7559,3283148
34.5809,105.7311,3262549
22.5333,113.35,3260000
30.5098,105.5737,3252619
29.5854,103.7575,3235759
32.8312,-117.1225,3220118
31.418,73.079,3205476
30.4673,106.6336,3203846
27.7233,109.1885,3168800
32.9354,117.3531,3164467
-17.7892,-63.1975,3151676
39.9398,119.5881,3146300
43.6172,122.264,3139153
41.1144,121.1292,3126463
32.2109,119.4551,3113384
43.8225,87.6125,3112559
23.7503,114.6923,3093900
26.9167,75.8667,3073350
38.4178,112.7233,3067501
23.4833,111.3167,3061100
9.0272,38.7369,3044641
41.5757,120.4486,3041002
-15.7939,-47.8828,3015268
36.3069,59.6042,3001184
24.8011,113.5927,2997600
29.375,47.98,2993600
22.7664,115.3331,2989000
14.6333,121.0333,2977172
44.9635,-93.2678,2963199
50.45,30.5236,2960048
15.35,44.2,2957000
30.0575,103.8381,2950545
14.6099,-90.5252,2934841
37.4639,126.6486,2913024
26.6617,119.5228,2910000
27.9942,-82.4451,2908063
46.5979,125.008,2904532
25.4394,119.0103,2900000
-6.95,107.5667,2886698
-7.2458,112.7378,2885555
-12.9708,-38.5108,2876625
39.7621,-104.8759,2875673
41.8931,12.4828,2872800
-16.4942,-68.1475,2867504
40.8151,111.6629,2866615
27.8431,112.9228,2864800
39.03,125.73,2863000
24.15,120.6667,2804771
37.5,122.1,2803894
35.4164,119.4331,2801013
44.5861,129.5997,2798723
22.6167,120.3,2773533
-2.19,-79.8875,2723665
42.2841,123.8365,2717732
26.4725,80.3311,2701324
35.5806,104.6263,2698624
25.0478,121.5319,2690000
26.6448,118.1728,2684567
29.3498,104.7645,2678899
23.67,116.63,2656600
40.6562,109.8345,2650364
26.0819,119.2981,2640000
25.0881,117.0244,2629906
32.6877,109.0235,2627000
25.1211,99.169,2623541
40.7094,120.8378,2610000
-18.9386,47.5214,2606000
30.1256,104.6397,2593843
22.335,91.8325,2581827
18.4764,-69.8933,2581643
26.2658,117.6302,2580000
33.535,105.349,2567718
40.6501,-73.9496,2559903
21.8556,111.9627,2555600
46.8081,130.3653,2552097
7.3964,3.9167,2550593
33.583,114.0109,2544266
23.8864,100.0871,2536000
6.2447,-75.5748,2532938
30.9475,118.7518,2529403
22.9242,112.0353,2526900
25.2697,55.3094,2502715
25.15,82.58,2497900
41.3,69.2667,2496970
32.4353,105.8398,2484122
3.44,-76.5197,2471700
30.2018,115.0326,2471474
12.3686,-1.5275,2461002
35.8667,128.6,2453496
-3.7275,-38.5275,2452185
3.8578,11.5181,2446945
4.05,9.7,2444697
43.8519,126.5481,2440462
40.1167,124.3833,2428534
40.7523,120.828,2426000
40.6653,122.2297,2405665
21.1539,79.0831,2396000
15.6167,32.48,2395159
-6.2333,107.0,2386000
28.6667,77.4167,2381053
24.3495,102.5432,2375820
-27.4678,153.0281,2360241
26.2456,105.934,2353100
-6.394,106.8225,2341742
33.868,109.9244,2333896
32.4831,117.0164,2330333
41.7302,125.9471,2324439
5.6037,-0.187,2291352
33.6,130.4167,2280000
35.4906,112.8483,2279146
49.25,-123.1,2264823
-6.1783,106.6319,2237006
34.7736,111.195,2234018
23.7333,109.2333,2233900
40.7498,-73.7976,2230722
35.7278,107.64,2211191
36.6239,101.7787,2208708
31.6858,118.5101,2202899
36.5952,109.4863,2187009
40.3667,49.8352,2181800
30.7824,106.1281,2174000
-17.8292,31.0522,2150000
23.1367,-82.3589,2141652
11.5696,104.921,2129371
29.875,121.5492,2125500
2.0408,45.3425,2120000
23.2993,116.1586,2118200
3.6667,98.6667,2114276
33.9562,116.789,2111000
24.8141,118.5792,2109330
33.9381,-117.3948,2107852
39.3051,-76.6144,2106068
20.8,106.6667,2104198
36.2333,-115.2654,2103500
22.4167,107.3667,2099400
33.6007,73.0679,2098231
6.6833,-1.6167,2074775
45.5372,-122.65,2072600
22.3,73.2,2069350
24.4164,111.5478,2068033
35.5412,106.6819,2065771
29.4658,-98.5253,2049293
-31.9522,115.8589,2039200
17.7333,83.3167,2035922
37.45,118.4667,2035338
32.15,74.1833,2032356
45.6148,122.832,2027001
41.8708,123.8917,2024074
38.6358,-90.2451,2024000
12.6458,-7.9922,2011388
-0.22,-78.5125,2009786
53.9022,27.5618,2009109
22.7206,75.8472,1994397
38.4795,106.2254,1993088
-5.8961,22.4167,1971704
34.0,71.5,1970042
43.0621,141.3544,1961690
32.6447,51.6675,1961260
10.5,-66.9333,1943901
27.6333,113.85,1933200
36.2,37.15,1922523
32.525,-117.0333,1916822
43.25,76.9,1916781
48.2083,16.3725,1911191
19.18,72.9633,1898019
38.5667,-121.4683,1895973
-15.7861,35.0058,1891100
22.9833,120.1833,1886941
22.2769,113.5678,1883831
44.4,26.0833,1883425
-25.4297,-49.2719,1879355
30.1978,71.4711,1873000
40.082,113.2981,1871843
19.6097,-99.06,1862165
45.2937,130.965,1860310
34.75,72.3572,1858768
41.2643,123.1772,1857188
53.55,10.0,1852478
0.05,37.65,1833000
-4.2667,15.2833,1827000
28.4772,-81.3369,1822394
42.0127,121.6486,1819339
37.9278,102.6329,1815059
-3.1,-60.0167,1802014
23.25,77.4167,1798218
37.3019,-121.8486,1798103
52.23,21.0111,1790658
-11.6697,27.4581,1786397
7.0667,125.6,1776949
20.02,110.32,1776141
33.5131,36.2919,1770000
34.1299,118.7734,1754000
50.8353,4.3314,1743000
-15.4167,28.2833,1742979
25.3792,68.3683,1732693
47.4983,19.0408,1723836
39.3408,112.4292,1714857
41.4767,-81.6804,1710093
41.292,123.761,1709538
36.5448,104.1766,1708751
40.4396,-79.9762,1703266
25.61,85.1414,1694000
36.3667,43.1167,1687311
14.65,120.9667,1684222
30.3004,-97.7522,1680000
30.82,108.4,1680000
21.4667,109.1,1675368
21.4225,39.8261,1673899
50.2458,127.4886,1673200
29.2942,117.2036,1667864
9.538,-13.6773,1662691
0.3136,32.5811,1661584
39.1413,-84.5061,1659600
-8.0539,-34.8808,1653461
31.3867,120.9766,1651200
24.965,121.2168,1636715
39.1239,-94.5541,1632616
40.7834,-73.9662,1628706
22.15,82.0167,1625502
-6.9667,110.4167,1621384
30.9083,75.8486,1618879
55.0333,82.9167,1603659
35.0833,117.15,1602915
27.1724,78.0131,1592492
35.8327,50.9915,1592000
27.9991,120.6561,1588961
39.7771,-86.1458,1588700
21.1167,-101.6833,1579803
19.0333,-98.1833,1576614
19.2502,73.1602,1576259
9.9197,78.1194,1569208
-6.1209,23.5967,1565572
35.7497,114.2887,1562009
29.61,52.5425,1561129
22.8,86.1833,1559073
39.9862,-82.985,1558693
38.0833,46.2833,1558000
10.6333,-71.6333,1551539
35.5167,139.7,1539522
5.1167,7.3667,1537900
-2.9833,104.7644,1535952
29.1255,110.4844,1530000
34.6913,135.183,1513193
35.208,-80.8304,1512923
31.65,120.7333,1510100
21.6146,110.2794,1509400
24.9633,118.3811,1508000
28.1958,115.7833,1507402
29.9888,103.0007,1507258
-1.4558,-48.5039,1499641
23.4,110.0833,1496904
20.9147,110.0806,1494700
35.1667,126.9167,1490092
48.1375,11.575,1488202
20.0,73.7833,1486053
-30.0328,-51.23,1484941
10.1667,-68.0,1484430
6.1667,6.7833,1483000
24.4511,54.3969,1483000
36.7335,-76.0435,1478868
36.351,127.385,1476491
20.7167,-103.4,1475221
56.8356,60.6128,1468833
32.6832,112.079,1468061
35.0117,135.7683,1464890
46.6388,131.1545,1462626
34.3422,118.0097,1458038
32.05,-7.4,1450021
50.0,36.2292,1446107
31.8775,120.5512,1432044
36.008,106.2782,1426000
22.8167,89.55,1421409
23.6139,58.5922,1418207
40.8501,-73.8662,1414100
21.9135,110.8481,1402518
30.6583,117.4849,1400689
28.4353,77.3147,1396288
47.9214,106.9055,1394000
-16.6806,-49.2564,1393575
25.7232,119.3735,1390487
44.8167,20.4667,1378900
36.7833,119.9556,1378682
45.4669,9.19,1371330
19.88,75.32,1368117
28.3147,112.554,1366180
43.0642,-87.9673,1365787
29.7132,118.3151,1358980
-36.85,174.7833,1346091
-5.1331,119.4136,1343423
19.45,-70.7,1338663
50.0833,14.4167,1335900
22.2969,70.7984,1335397
27.2578,111.7351,1335084
-31.4167,-64.1833,1329604
-23.4667,-46.5333,1326564
30.515,47.81,1324781
35.8617,139.6453,1321004
31.7386,-106.487,1320571
-34.8667,-56.1667,1319108
35.91,117.78,1315942
30.9333,117.7667,1311726
28.99,77.7,1305429
44.8249,126.5451,1304436
26.2312,104.0966,1302891
21.654,110.6294,1302100
37.8576,113.5762,1300000
-34.9275,138.6,1296127
41.9377,126.4179,1296000
26.8808,100.2208,1295714
40.8523,122.7474,1293877
31.9087,120.2653,1285785
33.5819,119.028,1284000
37.9874,106.1919,1279488
-8.7833,13.3667,1277411
10.9639,-74.7964,1274250
42.6979,23.3217,1271628
-26.2678,27.8586,1267564
23.1667,79.9333,1267066
32.3852,120.5634,1264075
56.3269,44.0075,1264000
32.9387,119.8404,1253548
23.7928,86.435,1250000
14.0833,-87.2167,1248636
36.1833,117.6667,1247749
25.3575,55.3919,1247400
30.6667,113.1667,1246000
55.7908,49.1144,1243500
37.2858,127.01,1240382
33.9317,116.4459,1239220
51.05,-114.0667,1237300
10.0333,105.7833,1235880
9.0556,7.4914,1234300
21.9831,96.0844,1225546
34.602,105.918,1225000
26.5964,104.8314,1221000
26.5849,101.7149,1214121
3.2167,-51.2167,1209091
55.15,61.4,1203230
-4.05,39.6667,1202371
41.823,-71.4187,1201158
25.3189,83.0128,1200000
34.64,50.8764,1199515
38.9355,100.4553,1198491
34.4,132.45,1198021
11.8333,13.15,1197497
-25.9153,32.5764,1193605
25.3,51.5333,1191613
-32.9575,-60.6394,1186700
14.75,-17.4,1186023
27.795,114.9242,1184788
31.3203,48.6692,1181496
30.3322,-81.6749,1180770
24.4667,39.6,1180570
34.0911,74.8061,1178391
54.9667,73.3833,1176239
42.8976,125.1381,1175000
-7.7167,109.017,1174964
28.2333,117.0,1170791
-5.4294,105.2625,1169719
53.1833,50.1167,1168056
28.2363,113.6984,1166761
35.55,129.3167,1166033
38.5158,114.9845,1165182
-22.9009,-47.0573,1164098
27.6961,111.6659,1162928
14.7319,-17.4572,1162770
29.8239,112.9019,1160242
36.0656,113.8153,1160000
19.7475,96.115,1156663
-1.9536,30.0606,1151554
26.4179,112.8457,1148126
47.7235,128.8893,1147188
6.3176,5.6145,1146053
52.48,-1.9025,1140100
30.3833,113.4,1137100
31.6269,74.877,1135512
-12.0611,-77.1333,1132383
25.6667,-100.3,1131896
27.88,78.08,1131160
34.1511,113.4733,1129854
19.41,-99.03,1127000
32.8752,13.1875,1126534
38.7689,125.4505,1126000
47.2333,39.7167,1125299
14.0942,-87.2067,1118035
41.7225,44.7925,1116267
26.1722,91.7458,1115560
54.7261,55.9475,1112072
34.0433,-5.0033,1109363
10.9508,106.8221,1104000
